date	gdp_nom_sa			
2003Q1	"1,640.59"	1626.878899	1626.807664	1646.455218
2003Q2	"1,739.64"	1747.076346	1747.017244	1737.937494
2003Q3	"1,831.85"	1852.400564	1852.415446	1829.566653
2003Q4	"1,905.61"	1891.614535	1891.589704	1901.655773
2004Q1	"1,892.93"	1881.330441	1881.254697	1898.680611
2004Q2	"2,098.99"	2102.540049	2102.464472	2098.452478
2004Q3	"2,123.36"	2148.157319	2148.173325	2120.223116
2004Q4	"2,390.59"	2364.65479	2364.622414	2387.783206
2005Q1	"2,645.51"	2645.136678	2645.038207	2650.298906
2005Q2	"2,871.43"	2864.332198	2864.218577	2875.51547
2005Q3	"3,337.96"	3390.045752	3390.077356	3325.174518
2005Q4	"3,599.49"	3538.220132	3538.172355	3599.853968
2006Q1	"3,824.70"	3856.576828	3856.439671	3826.230158
2006Q2	"4,181.25"	4163.014973	4162.827946	4192.384498
2006Q3	"5,261.70"	5322.216755	5322.285234	5245.426854
2006Q4	"5,390.34"	5255.170577	5255.105975	5399.910759
2007Q1	"6,286.20"	6427.235671	6427.009682	6265.39443
2007Q2	"6,814.27"	6831.33323	6830.98027	6817.018716
2007Q3	"7,043.49"	7039.024887	7039.155311	7050.780402
2007Q4	"8,269.18"	7982.753351	7982.676164	8304.28434
2008Q1	"9,701.38"	10011.67732	10011.30539	9651.442015
2008Q2	"10,270.13"	10388.84652	10388.21055	10243.75957
2008Q3	"10,326.89"	10278.81468	10279.10646	10340.30996
2008Q4	"9,784.00"	9417.973248	9417.927444	9823.757043
2009Q1	"7,518.08"	7736.720169	7736.400697	7495.743471
2009Q2	"8,370.20"	8473.184112	8472.543494	8357.1083
2009Q3	"9,402.53"	9352.953199	9353.345116	9418.825949
2009Q4	"10,158.39"	9850.324288	9850.339441	10165.80069
2010Q1	"10,412.83"	10661.18778	10660.69919	10384.17334
2010Q2	"10,699.60"	10826.53606	10825.51143	10687.12207
2010Q3	"10,229.43"	10171.3282	10171.94684	10265.81337
2010Q4	"11,115.26"	10828.50237	10828.60379	11109.3551
2011Q1	"11,697.22"	11879.93216	11879.30181	11675.21333
2011Q2	"12,274.48"	12409.07756	12407.57712	12268.33008
2011Q3	"12,170.11"	12204.03213	12205.11097	12189.79399
2011Q4	"15,683.74"	15367.19423	15367.49848	15652.69097
2012Q1	"14,233.81"	14322.38573	14321.47217	14223.6578
2012Q2	"13,143.44"	13190.30833	13188.24722	13173.03896
2012Q3	"13,578.39"	13688.06795	13689.80815	13577.32866
2012Q4	"13,794.44"	13614.05654	13614.49975	13763.01261
2013Q1	"14,305.79"	14306.26462	14305.13127	14307.76589
2013Q2	"13,940.62"	13992.32585	13989.48171	13962.55837
2013Q3	"14,717.13"	14870.01607	14872.69423	14691.22493
2013Q4	"15,112.16"	14951.99589	14952.73991	15098.62862
2014Q1	"14,705.41"	14575.47673	14574.01497	14746.07838
2014Q2	"15,159.47"	15315.66682	15311.58103	15137.04022
2014Q3	"15,113.43"	15282.7772	15286.61518	15067.91235
2014Q4	"14,004.52"	13860.34301	13861.36313	14015.09299
2015Q1	"13,001.45"	12833.60227	12831.95834	13053.46719
2015Q2	"13,997.53"	14190.97786	14185.96091	13955.16022
2015Q3	"13,575.35"	13656.59943	13661.33021	13548.18572
2015Q4	"13,765.05"	13637.1025	13638.55453	13793.07925
2016Q1	"14,304.02"	14206.27687	14203.93748	14321.86554
2016Q2	"15,020.77"	15206.33656	15199.16261	14978.8441
2016Q3	"15,352.82"	15336.79756	15344.0856	15341.47316
2016Q4	"15,663.61"	15568.738	15571.09676	15709.02164
2017Q1	"17,074.39"	17076.23054	17072.57154	17049.5726
2017Q2	"17,396.31"	17514.25504	17503.18116	17375.72378
2017Q3	"17,756.72"	17640.28104	17651.74458	17744.10168
2017Q4	"17,976.36"	18020.94557	18024.78339	18017.8097
2018Q1	"19,172.37"	19213.74576	19208.32543	19131.70088
2018Q2	"19,649.33"	19626.1539	19609.48105	19679.7777
2018Q3	"20,131.45"	19903.44386	19921.09044	20095.99653
2018Q4	"20,824.30"	21154.39659	21160.66278	20838.56245
2019Q1	"19,876.53"	19958.84195	19951.37482	19800.65094
2019Q2	"20,791.65"	20553.4799	20529.98239	20930.35431
2019Q3	"20,222.07"	19874.18153	19898.17702	20146.94145
2019Q4	"20,838.57"	21397.96048	21406.69065	20876.9829
2020Q1	"19,371.97"	19591.96891	19582.20267	19169.83907
2020Q2	"17,096.84"	16787.42491	16761.57805	17325.22744
2020Q3	"18,214.85"	17738.33812	17767.46152	18088.94371
2020Q4	"17,900.75"	18443.40119	18453.69116	18077.84588
2021Q1	"20,089.56"	20426.43338	20412.80163	19723.82615
2021Q2	"22,220.74"	21819.65595	21776.36887	
2021Q3	"23,231.07"	22465.20921		
2021Q4	"26,600.64"			
